name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
"Metal Flexible ""1/2",pm_set_electrical,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 35 meters.,good,35,,
"LQT ""2",pm_set_electrical,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 15 meters.,good,15,,
"LQT ""1 1/2",pm_set_electrical,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 20 meters.,good,20,,
"LQT ""1",pm_set_electrical,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 20 meters.,good,20,,
"LQT ""3/4",pm_set_electrical,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 25 meters.,good,25,,
"LQT ""1/2",pm_set_electrical,consumable,tools,meter,false,Imported from INVENTORY LIST (PAPER). Source quantity: 25 meters.,good,25,,
Amco Box (Unsure),items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 15 pcs.,good,15,,
Metal Utility Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 31 pcs.,good,31,,
Metal Square Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 28 pcs.,good,28,,
Heavy Utility Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 16 pcs.,good,16,,
Heavy Duty Plug,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 20 pcs.,good,20,,
BJB Socket,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 35 pcs.,good,35,,
Porcelain Socket,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 40 pcs.,good,40,,
Rocker Switch,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 29 pcs.,good,29,,
Toggle Switch,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 11 pcs.,good,11,,
LB Conduit,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 37 pcs.,good,37,,
Cutting Disc,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 31 pcs.,good,31,,
PVC Junction Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 53 pcs.,good,53,,
PVC Utility Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 43 pcs.,good,43,,
PVC Square Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 33 pcs.,good,33,,
Metal Junction Box,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 21 pcs.,good,21,,
Lamp Holder (Side),pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 112 pcs.,good,112,,
Lamp Holder (Corner),pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 132 pcs.,good,132,,
"EMT Coupling ""1/2",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 52 pcs.,good,52,,
"EMT Coupling ""3/4",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 41 pcs.,good,41,,
"EMT Coupling ""1",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 43 pcs.,good,43,,
"EMT Coupling ""1 1/2",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 22 pcs.,good,22,,
"EMT Coupling ""2",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 15 pcs.,good,15,,
"EMT Elbow ""1/2",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 44 pcs.,good,44,,
"EMT Elbow ""1/4",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 35 pcs.,good,35,,
"EMT Elbow ""1",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 21 pcs.,good,21,,
"EMT Elbow ""1 1/2",pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 11 pcs.,good,11,,
PVC Adapter 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 114 pcs.,good,114,,
PVC Adapter 3/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 109 pcs.,good,109,,
PVC Adapter 1 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 45 pcs.,good,45,,
PVC Adapter 2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 40 pcs.,good,40,,
PVC Elbow 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 89 pcs.,good,89,,
PVC Elbow 3/4,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 81 pcs.,good,81,,
PVC Elbow 1 1/2,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 43 pcs.,good,43,,
PVC Elbow 1,pm_set_electrical,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 32 pcs.,good,32,,
