name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
Black Screw 2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Black Screw 3,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Blank Cover,pm_set_electrical,consumable,electronics,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Blind Rivets 3/16x3/4,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Blind Rivets 5/32x1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Blind Rivets 5/32x3/4,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Blind Rivets 5/32x5/8,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 1/4x1 1/4,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 1/4x1 1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 1/4x2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 1/4x3,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 3/8x1 1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 3/8x2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 5/16x1,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 5/16x1 1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 5/16x2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Bolt and Nut 5/32x1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Borax,items_tools,consumable,chemicals,can,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Busbar Screw 3/16x1,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
